full_address,lat,lng
130 Bukit Merah View,1.284828,103.82448
119 Bukit Merah View,1.283568,103.820879
114 Bukit Merah View,1.286156,103.82218
5 Telok Blangah Crescent,1.278726,103.819225
105 Henderson Crescent,1.290063,103.822709
12 Telok Blangah Crescent,1.277678,103.819967
8 Telok Blangah Crescent,1.277799,103.819346
18 Telok Blangah Crescent,1.277906,103.822547
16 Telok Blangah Crescent,1.278058,103.821519
13 Telok Blangah Crescent,1.278157,103.820477
2 Jalan Bukit Merah,1.286722,103.807344
1 Jalan Bukit Merah,1.286491,103.808354
108 Jalan Bukit Merah,1.279174,103.825647
102 Bukit Purmei Road,1.271964,103.826626
106 Bukit Purmei Road,1.27306,103.825632
62 Telok Blangah Heights,1.275346,103.811146
63 Telok Blangah Heights,1.27484,103.810848
60 Telok Blangah Heights,1.276164,103.812211
55 Telok Blangah Drive,1.273949,103.812182
75 Telok Blangah Drive,1.274688,103.808436
141 Jalan Bukit Merah,1.27718,103.82888
7 Everton Park,1.277124,103.839378
3 Everton Park,1.277188,103.838668
146 Jalan Bukit Merah,1.277796,103.830796
18 Kampong Bahru Hill,1.27302,103.828849
20 Redhill Close,1.286762,103.817337
13 Redhill Close,1.28543,103.816945
19 Redhill Close,1.28608,103.817822
28 Jalan Bukit Merah,1.286612,103.810115
28 Hoy Fatt Road,1.286698,103.810026
29 Havelock Road,1.288914,103.830973
18 Taman Ho Swee,1.288142,103.831046
30 Jalan Klinik,1.287755,103.828219
26 Jalan Klinik,1.288224,103.828444
28 Jalan Klinik,1.287948,103.828217
22 Havelock Road,1.288762,103.828948
37 Jalan Rumah Tinggi,1.289225,103.809171
36 Beo Crescent,1.288303,103.82723
6 Jalan Bukit Ho Swee,1.287659,103.831453
41 Kim Cheng Street,1.284696,103.831594
47 Moh Guan Terrace,1.284215,103.831069
34 Telok Blangah Way,1.273675,103.822452
129 Kim Tian Road,1.281321,103.828577
120 Bukit Merah View,1.282809,103.822577
111 Bukit Merah View,1.286212,103.823644
109 Jalan Bukit Merah,1.279453,103.826053
104 Bukit Purmei Road,1.272563,103.825735
110 Bukit Purmei Road,1.273894,103.82706
114 Bukit Purmei Road,1.275141,103.825871
113 Bukit Purmei Road,1.274824,103.826993
57 Telok Blangah Heights,1.274603,103.812524
54 Telok Blangah Drive,1.273624,103.811926
69 Telok Blangah Heights,1.275639,103.810398
51 Telok Blangah Drive,1.273526,103.810081
101 Henderson Crescent,1.290711,103.821671
103 Henderson Crescent,1.289818,103.821502
140 Jalan Bukit Merah,1.278162,103.829528
4 Everton Park,1.276918,103.840155
7 Kim Tian Place,1.283675,103.82721
115 Bukit Purmei Road,1.275264,103.826648
48 Telok Blangah Drive,1.272373,103.810523
73 Telok Blangah Heights,1.275796,103.809175
72 Telok Blangah Heights,1.276144,103.809616
66 Telok Blangah Drive,1.27421,103.809717
8 Empress Road,1.316576,103.805602
4 Queen's Road,1.319174,103.808335
6 Farrer Road,1.316553,103.807261
8 Jalan Kukoh,1.287388,103.839415
22 Outram Park,1.282757,103.838594
12 Short Street,1.302169,103.850282
13 Short Street,1.302184,103.84993
8 Selegie Road,1.303075,103.850543
538 Upper Cross Street,1.28516,103.845868
264 Waterloo Street,1.299201,103.852052
271 Queen Street,1.30107,103.853882
664 Buffalo Road,1.30661,103.850929
34 Upper Cross Street,1.286086,103.842293
640 Rowell Road,1.307742,103.854728
2 Rochor Road,1.30264,103.855281
9 Selegie Road,1.303388,103.850927
10 Selegie Road,1.303708,103.85055
232 Bain Street,1.297033,103.853764
663 Buffalo Road,1.30562,103.850762
662 Buffalo Road,1.306706,103.850888
335B Smith Street,1.282399,103.843544
639 Rowell Road,1.307784,103.85524
632 Veerasamy Road,1.306121,103.854622
633 Veerasamy Road,1.305974,103.85495
642 Rowell Road,1.307738,103.856434
1 Teck Whye Avenue,1.382576,103.751747
4 Teck Whye Avenue,1.381999,103.752722
10 Teck Whye Avenue,1.380253,103.755415
16 Teck Whye Lane,1.378734,103.75512
26 Teck Whye Lane,1.377624,103.755647
13 Teck Whye Lane,1.378981,103.755842
440 Clementi Avenue 3,1.316164,103.764037
509 West Coast Drive,1.311194,103.760955
363 Clementi Avenue 2,1.312791,103.768899
365 Clementi Avenue 2,1.312288,103.769967
427 Clementi Avenue 3,1.311988,103.763754
334 Clementi Avenue 2,1.315857,103.768424
329 Clementi Avenue 2,1.313087,103.767382
323 Clementi Avenue 5,1.315828,103.767079
322 Clementi Avenue 5,1.316146,103.766325
326 Clementi Avenue 5,1.314461,103.76654
314 Clementi Avenue 4,1.319582,103.767684
313 Clementi Avenue 4,1.319575,103.767696
312 Clementi Avenue 4,1.31908,103.763971
354 Clementi Avenue 2,1.313527,103.770872
435 Clementi Avenue 3,1.314594,103.762454
433 Clementi Avenue 3,1.314114,103.763306
506 West Coast Drive,1.312541,103.760797
508 West Coast Drive,1.31167,103.761769
401 Clementi Avenue 1,1.306921,103.768116
320 Clementi Avenue 4,1.316922,103.765306
310 Clementi Avenue 4,1.320283,103.765976
309 Clementi Avenue 4,1.320921,103.766368
307 Clementi Avenue 4,1.32144,103.767099
305 Clementi Avenue 4,1.322018,103.766023
306 Clementi Avenue 4,1.321516,103.765596
303 Clementi Avenue 4,1.321341,103.764829
346 Clementi Avenue 5,1.316818,103.770233
431 Clementi Avenue 3,1.313241,103.763067
339 Clementi Avenue 5,1.319619,103.769174
515 West Coast Road,1.308417,103.759728
520 West Coast Road,1.307178,103.75957
602 Clementi West Street 1,1.305058,103.766304
607 Clementi West Street 1,1.304248,103.767773
608 Clementi West Street 1,1.30443,103.766328
702 West Coast Road,1.307271,103.761122
703 West Coast Road,1.306656,103.760768
704 West Coast Road,1.306335,103.760484
711 Clementi West Street 2,1.305132,103.761011
705 Clementi West Street 2,1.305755,103.760462
713 Clementi West Street 2,1.304062,103.762272
731 Clementi West Street 2,1.304332,103.762871
728 Clementi West Street 2,1.305397,103.763706
706 Clementi West Street 2,1.306794,103.762358
710 Clementi West Street 2,1.305959,103.761225
610 Clementi West Street 1,1.304854,103.768807
113 Clementi Street 13,1.323691,103.770149
412 Commonwealth Avenue West,1.310915,103.77074
411 Commonwealth Avenue West,1.310934,103.769574
315 Clementi Avenue 4,1.318425,103.765382
311 Clementi Avenue 4,1.319367,103.765124
301 Clementi Avenue 4,1.322194,103.764927
609 Clementi West Street 1,1.304115,103.765434
729 Clementi West Street 2,1.3051,103.763368
707 Clementi West Street 2,1.306341,103.76237
371 Clementi Avenue 4,1.320426,103.768286
205 Clementi Avenue 6,1.32097,103.762282
414 Commonwealth Avenue West,1.311593,103.771641
415 Commonwealth Avenue West,1.310968,103.771657
413 Commonwealth Avenue West,1.311379,103.770845
336 Clementi Avenue 2,1.316415,103.769267
337 Clementi Avenue 2,1.316071,103.769131
717 Clementi West Street 2,1.303237,103.762526
723 Clementi West Street 2,1.303116,103.763432
724 Clementi West Street 2,1.303586,103.763396
103 Clementi Street 14,1.322713,103.768965
204 Clementi Avenue 6,1.321017,103.76307
201 Clementi Avenue 6,1.320335,103.76262
110 Clementi Street 13,1.322648,103.771114
111 Clementi Street 13,1.323225,103.771155
115 Clementi Street 13,1.323891,103.771431
116 Clementi Street 13,1.324455,103.772029
63 Circuit Road,1.326512,103.886632
62 Circuit Road,1.326354,103.887114
81 MacPherson Lane,1.332204,103.886301
40 Circuit Road,1.327684,103.88625
1 Jalan Pasar Baru,1.352083,103.819836
2 Geylang Serai,1.317384,103.897529
16 Eunos Crescent,1.323072,103.904452
18 Eunos Crescent,1.323756,103.903959
19 Eunos Crescent,1.324314,103.903179
24 Eunos Crescent,1.323753,103.902272
20 Eunos Crescent,1.324714,103.903193
21 Eunos Crescent,1.325201,103.903304
59 Sims Drive,1.318738,103.880073
45 Sims Drive,1.317345,103.878422
87 Circuit Road,1.323383,103.88645
85 Circuit Road,1.322655,103.885734
98 Aljunied Crescent,1.320871,103.885685
41 Sims Drive,1.316549,103.87572
128 Geylang East Avenue 1,1.31849,103.887544
58 Dakota Crescent,1.3074,103.889458
102 Aljunied Crescent,1.320302,103.882358
99 Aljunied Crescent,1.321381,103.884301
106 Aljunied Crescent,1.319143,103.882952
112 Aljunied Crescent,1.320426,103.885094
108 Aljunied Crescent,1.319116,103.885217
12 Pine Close,1.30855,103.88224
22 Haig Road,1.31354,103.895068
65 Circuit Road,1.327411,103.887192
34 Circuit Road,1.329019,103.887438
23 Balam Road,1.33103,103.886523
21 Balam Road,1.331217,103.886976
93 Jalan Dua,1.308679,103.887126
61 Circuit Road,1.325729,103.887237
67 Circuit Road,1.3259,103.887891
57 Circuit Road,1.324722,103.886654
58 Circuit Road,1.325011,103.886445
47 Circuit Road,1.325826,103.885692
48 Circuit Road,1.325418,103.885645
49 Circuit Road,1.325137,103.885596
39 Circuit Road,1.32744,103.885684
44 Circuit Road,1.326656,103.886139
46 Circuit Road,1.326098,103.886228
38 Circuit Road,1.327967,103.886089
36 Circuit Road,1.329175,103.886658
127 Geylang East Avenue 1,1.317874,103.887734
9 Eunos Crescent,1.32183,103.902718
35 Circuit Road,1.329166,103.885974
6 Haig Road,1.313176,103.897213
123 Geylang East Central,1.318292,103.885477
23 Haig Road,1.31354,103.895475
60 Dakota Crescent,1.307602,103.888544
417 Eunos Road 5,1.318173,103.8971
411 Eunos Road 5,1.318609,103.899756
62 Dakota Crescent,1.308046,103.888093
13 Eunos Crescent,1.322717,103.903406
2 Hougang Avenue 3,1.363256,103.893165
1 Hougang Avenue 3,1.364134,103.892925
304 Hougang Avenue 5,1.36749,103.895734
303 Hougang Avenue 5,1.368017,103.894721
17 Hougang Avenue 3,1.363419,103.890976
20 Hougang Avenue 3,1.363848,103.890714
21 Hougang Avenue 3,1.364341,103.891218
24 Hougang Avenue 3,1.365526,103.891948
115 Hougang Avenue 1,1.352765,103.88802
124 Hougang Avenue 1,1.352914,103.886744
125 Hougang Avenue 1,1.352391,103.886304
113 Hougang Avenue 1,1.353558,103.888636
114 Hougang Avenue 1,1.353445,103.889075
109 Hougang Avenue 1,1.355317,103.889436
110 Hougang Avenue 1,1.354669,103.889501
319 Hougang Avenue 5,1.365773,103.896822
318 Hougang Avenue 5,1.365721,103.896206
308 Hougang Avenue 5,1.366624,103.896186
327 Hougang Avenue 5,1.368234,103.89635
244 Hougang Street 22,1.358137,103.892032
252 Hougang Avenue 3,1.360208,103.892661
248 Hougang Avenue 3,1.359415,103.892537
410 Hougang Avenue 10,1.373931,103.894614
15 Hougang Avenue 3,1.362663,103.891848
239 Hougang Street 22,1.356064,103.890464
142 Lorong Ah Soo,1.353003,103.882637
135 Lorong Ah Soo,1.350124,103.886715
137 Lorong Ah Soo,1.349318,103.886805
309 Hougang Avenue 5,1.366185,103.895142
154 Hougang Street 11,1.352277,103.88011
341 Hougang Avenue 7,1.370327,103.898697
352 Hougang Avenue 7,1.372133,103.899063
310 Hougang Avenue 5,1.36634,103.896213
320 Hougang Avenue 5,1.366379,103.897998
251 Hougang Avenue 3,1.359949,103.891632
339 Hougang Avenue 7,1.370122,103.898541
302 Hougang Avenue 5,1.368454,103.894586
138 Lorong Ah Soo,1.351662,103.884284
140 Lorong Ah Soo,1.352533,103.883748
234 Hougang Avenue 1,1.358185,103.888787
231 Hougang Street 21,1.358415,103.887862
133 Lorong Ah Soo,1.350813,103.887474
16 Hougang Avenue 3,1.36281,103.89105
237 Hougang Street 21,1.356824,103.888802
128 Lorong Ah Soo,1.351677,103.886119
132 Lorong Ah Soo,1.350872,103.886494
141 Lorong Ah Soo,1.353091,103.883937
3 Teban Gardens Road,1.321678,103.745168
5 Teban Gardens Road,1.320704,103.744258
10 Teban Gardens Road,1.322121,103.742878
21 Teban Gardens Road,1.323732,103.739402
33 Teban Gardens Road,1.320352,103.741726
40 Teban Gardens Road,1.321354,103.742045
329 Jurong East Avenue 1,1.350161,103.729936
308 Jurong East Street 32,1.3473,103.734621
101 Jurong East Street 13,1.336893,103.738664
302 Jurong East Street 32,1.34473,103.734391
233 Jurong East Street 21,1.340353,103.740868
110 Jurong East Street 13,1.338956,103.736528
247 Jurong East Street 24,1.342056,103.739098
244 Jurong East Street 24,1.342566,103.742083
242 Jurong East Street 24,1.341776,103.742679
